ActivityStartDate,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultDepthHeightMeasure/MeasureUnitCode,MonitoringLocationIdentifier,_name,_dist_km,ResultDetectionConditionText,ResultStatusIdentifier,ResultCommentText,source
2019-02-01,Turbidity,3.7,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-02-01,Nitrogen,0.047,mg/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-02-01,Phosphorus,0.04,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-02-11,Turbidity,3.2,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-02-11,Nitrogen,,,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,Not Detected,Accepted,,original
2019-02-11,Phosphorus,0.04,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-03-20,Phosphorus,0.19,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-03-20,Turbidity,33.0,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-03-20,Nitrogen,0.273,mg/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-04-16,Turbidity,24.0,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-04-16,Phosphorus,0.14,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-04-16,Nitrogen,0.26,mg/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-04-24,Phosphorus,0.21,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-04-24,Nitrogen,0.268,mg/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-04-24,Turbidity,56.0,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-05-20,Turbidity,17.0,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-05-20,Nitrogen,0.312,mg/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-05-20,Phosphorus,,,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,Not Detected,Accepted,,original
2019-05-29,Turbidity,12.0,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-05-29,Phosphorus,0.1,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-05-29,Nitrogen,0.159,mg/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-06-18,Chlorophyll a,20.2,ug/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-06-18,Turbidity,22.0,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,The holding time for the processing of this sample has been exceeded,original
2019-06-18,Nitrogen,0.193,mg/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-06-18,Phosphorus,0.07,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-06-25,Nitrogen,0.265,mg/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-06-25,Phosphorus,0.16,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-06-25,Turbidity,34.0,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,The holding time for the processing of this sample has been exceeded,original
2019-06-25,Chlorophyll a,13.2,ug/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-07-17,Phosphorus,0.19,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-07-17,Nitrogen,0.356,mg/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-07-17,Turbidity,31.0,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-07-17,Chlorophyll a,16.0,ug/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-07-24,Phosphorus,0.13,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-07-24,Nitrogen,0.243,mg/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-07-24,Turbidity,36.0,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-07-24,Chlorophyll a,12.6,ug/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-08-06,Phosphorus,0.16,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-08-06,Nitrogen,0.327,mg/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-08-06,Turbidity,23.0,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-08-06,Chlorophyll a,5.9,ug/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-10-23,Chlorophyll a,10.3,ug/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-10-23,Turbidity,17.0,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-10-23,Nitrogen,0.19,mg/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-10-23,Phosphorus,0.05,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-11-25,Turbidity,8.4,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-11-25,Nitrogen,0.119,mg/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-11-25,Phosphorus,,,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,Not Detected,Accepted,,original
2019-12-05,Phosphorus,0.04,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-12-05,Nitrogen,0.09,mg/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2019-12-05,Turbidity,5.5,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2020-01-13,Turbidity,3.5,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2020-01-13,Nitrogen,0.032,mg/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2020-01-13,Phosphorus,0.04,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2020-02-21,Phosphorus,0.03,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2020-02-21,Nitrogen,0.041,mg/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2020-02-21,Turbidity,2.5,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2020-03-06,Phosphorus,0.12,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2020-03-06,Nitrogen,0.103,mg/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,"Sample submitted on 47mm filter,  subsampled filter for analysis, sample volume based on weight ratio.  For questions, contact: labhelp@usgs.gov or: Armin Burdick 303-236-3238 aburdick@usgs.gov",original
2020-03-06,Turbidity,5.6,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2020-04-23,Phosphorus,0.05,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2020-04-23,Nitrogen,0.207,mg/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2020-04-23,Turbidity,11.0,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2020-04-30,Phosphorus,,,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,Not Detected,Accepted,,original
2020-04-30,Turbidity,12.0,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2020-04-30,Nitrogen,0.285,mg/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2020-05-07,Phosphorus,,,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,Not Detected,Accepted,,original
2020-05-07,Nitrogen,0.376,mg/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Preliminary,,original
2020-05-07,Turbidity,15.0,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2020-06-02,Nitrogen,0.45,mg/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2020-06-02,Phosphorus,0.04,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2020-06-02,Turbidity,38.0,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2020-06-17,Turbidity,27.0,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2020-06-17,Nitrogen,0.478,mg/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2020-06-17,Phosphorus,,,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,Not Detected,Accepted,,original
2020-06-24,Turbidity,36.0,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2020-06-24,Nitrogen,0.679,mg/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2020-06-24,Phosphorus,,,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,Not Detected,Accepted,,original
2020-07-17,Nitrogen,0.329,mg/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2020-07-17,Turbidity,22.0,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2020-07-17,Phosphorus,0.05,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2020-07-31,Nitrogen,0.293,mg/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2020-07-31,Phosphorus,0.1,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,original
2020-07-31,Turbidity,67.0,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2020-08-11,Phosphorus,0.09,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2020-08-11,Turbidity,16.0,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2020-08-11,Nitrogen,0.391,mg/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
2020-10-28,Turbidity,6.3,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,,original
